"","year","price_gram","price_total","kg_buche","kg_total","count_buche","condition_infer","condition","place","source","sp_sci","sp_com","tma","infl","p_g_r","p_t_r","y_dry"
"1",2013,NA,NA,NA,13.61,NA,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"2",2013,NA,NA,0.6,102.06,169,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"3",2013,NA,3600000,NA,NA,241,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.08,NA,3888000,9.56
"4",2013,NA,5e+06,NA,239.95,NA,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.08,NA,5400000,9.56
"5",2015,NA,NA,NA,602,NA,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"6",2013,NA,NA,NA,NA,241,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"7",2013,NA,NA,0.44,219.08,500,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"8",2013,NA,NA,NA,NA,170,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"9",2013,NA,NA,NA,NA,11,"Wet",NA,"United States","CBP","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"10",2014,NA,NA,1.37,8.2,6,"Wet","Wet","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"11",2015,5,127500,0.28,25.5,90,"Wet",NA,"Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.06,5.3,135150,11.56
"12",2015,NA,NA,NA,22.18,NA,"Wet",NA,"Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"13",2016,NA,NA,NA,NA,3,"Wet","Wet","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"14",2016,NA,NA,NA,NA,6,"Wet","Wet","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"15",2016,NA,150000,0.32,39,121,"Wet","Wet","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.05,NA,157500,12.72
"16",2015,NA,NA,0.68,23,34,"Wet","Wet","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"17",2016,NA,NA,NA,NA,11,"Wet","Wet","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"18",2017,NA,NA,NA,NA,9,"Wet","Wet","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"19",2017,NA,NA,0.71,17,24,"Wet","Wet","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"20",2013,NA,2800000,NA,NA,560,"Dry","Dry","United States","C4ADS","Totoaba macdonaldi","Totoaba",1,1.08,NA,3024000,9.56
"21",2014,NA,NA,NA,2.74,NA,"Dry","Dry","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"22",2013,NA,NA,NA,142.8,NA,"Dry","Dry","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"23",2015,NA,NA,0.21,0.64,3,"Dry","Dry","China","C4ADS","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"24",2015,NA,NA,0.13,34.78,274,"Dry","Dry","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"25",2014,NA,NA,NA,NA,385,"Dry","Dry","Mexico","C4ADS","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"26",2013,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"27",2013,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"28",2013,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"29",2013,NA,NA,NA,NA,11,"Wet",NA,"United States","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"30",2013,NA,NA,NA,NA,169,"Wet",NA,"United States","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"31",2013,NA,NA,0.57,16.02,28,"Wet","Wet","United States","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"32",2013,NA,NA,NA,NA,241,"Wet",NA,"United States","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"33",2013,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"34",2013,NA,NA,NA,NA,9,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"35",2013,NA,NA,NA,NA,12,"Dry",NA,"Hong Kong","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"36",2013,NA,NA,NA,NA,169,"Wet",NA,"United States","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"37",2013,NA,NA,NA,NA,58,"Wet",NA,"United States","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"38",2013,NA,NA,NA,0.4,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.08,NA,NA,9.56
"39",2014,NA,NA,NA,NA,2,"Dry",NA,"Hong Kong","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"40",2014,NA,NA,NA,NA,NA,"Wet",NA,"United States","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"41",2014,NA,NA,NA,NA,241,"Wet",NA,"United States","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"42",2014,NA,NA,NA,NA,8.2,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"43",2014,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"44",2014,NA,NA,NA,2.76,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"45",2014,NA,NA,0.68,23,34,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"46",2014,NA,NA,NA,NA,3,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"47",2014,NA,NA,NA,NA,385,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,10.51
"48",2015,NA,NA,NA,NA,2,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"49",2015,NA,NA,NA,NA,86,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"50",2015,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"51",2015,NA,NA,NA,NA,14,"Dry",NA,"Hong Kong","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"52",2015,NA,NA,0.13,34.78,274,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"53",2015,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"54",2015,NA,NA,0.21,0.64,3,"Dry",NA,"Hong Kong","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"55",2015,NA,NA,NA,22,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"56",2015,NA,NA,NA,NA,58,"Wet",NA,"United States","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"57",2015,NA,NA,NA,NA,14,"Dry",NA,"Hong Kong","EIA","Totoaba macdonaldi","Totoaba",1,1.06,NA,NA,11.56
"58",2016,NA,NA,NA,NA,6,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"59",2016,NA,NA,0.12,7.1,61,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"60",2016,NA,NA,0.32,39,121,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"61",2016,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"62",2016,NA,NA,NA,4,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"63",2016,NA,NA,NA,NA,3,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"64",2016,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"65",2016,NA,NA,1.4,1.4,1,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.05,NA,NA,12.72
"66",2017,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"67",2017,NA,NA,0.2,2.8,14,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"68",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"69",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"70",2017,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"71",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"72",2017,NA,NA,NA,NA,24,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"73",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"74",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"75",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"76",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"77",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"78",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"79",2017,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"80",2017,NA,NA,0.07,26,375,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"81",2017,NA,NA,7,70,10,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"82",2017,NA,NA,NA,0,0,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1.02,NA,NA,14
"83",2018,NA,NA,NA,28,NA,"Dry",NA,"Hong Kong","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"84",2018,NA,NA,1.75,7,4,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"85",2018,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"86",2018,NA,NA,0.35,30.5,87,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"87",2018,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"88",2018,NA,NA,0.49,10.83,22,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"89",2018,NA,NA,0.7,19,27,"Wet","Wet","Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"90",2018,NA,NA,NA,NA,1,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"91",2018,NA,NA,NA,20.9,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"92",2018,NA,NA,NA,NA,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"93",2018,NA,NA,NA,NA,32,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"94",2018,NA,NA,NA,NA,408,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"95",2018,NA,NA,NA,40,NA,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"96",2018,NA,NA,NA,NA,417,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"97",2018,NA,NA,0.44,100,229,"Wet",NA,"Mexico","EIA","Totoaba macdonaldi","Totoaba",1,1,NA,NA,15.5
"98",2014,34.14,NA,0.46,0.46,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,36.1884,NA,10.51
"99",2014,42.05,NA,0.37,0.37,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,44.573,NA,10.51
"100",2014,38.89,NA,0.07,0.07,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,41.2234,NA,10.51
"101",2014,39,NA,0.72,0.72,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,41.34,NA,10.51
"102",2014,35.9,NA,0.12,0.12,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,38.054,NA,10.51
"103",2014,32.56,NA,0.43,0.43,1,"Dry",NA,"Hong Kong","WildAid","Totoaba macdonaldi","Totoaba",1,1.06,34.5136,NA,10.51
